"","test","model","roi","class","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"177","recurrent","aware","IWR10-reg006","Lymphoid",0.718631178707224,0.995528710385943,0.768292682926831,0.994202898550725,0.768292682926829,0.718631178707224,0.742632612966601,0.0202136653600799,0.0145261701637076,0.0189070786257782,0.857079944546584
"178","recurrent","aware","IWR10-reg007","Lymphoid",0.37410071942446,0.992583732057416,0.626506024096384,0.979461756373938,0.626506024096386,0.37410071942446,0.468468468468468,0.0321833757814309,0.0120398240333411,0.0192174114378328,0.683342225740938
"179","recurrent","aware","IWR10-reg008","Lymphoid",0.595982142857143,0.997641625313222,0.847619047619048,0.991164697842429,0.847619047619048,0.595982142857143,0.699868938401049,0.0215374260852844,0.0128359213499351,0.0151435027162156,0.796811884085182
"180","recurrent","aware","IWR10-reg009","Lymphoid",0.764478764478765,0.992074834351046,0.764478764478764,0.992074834351046,0.764478764478765,0.764478764478765,0.764478764478765,0.0325540472599296,0.0248868778280543,0.0325540472599296,0.878276799414905
"181","recurrent","aware","IWR11-reg002","Lymphoid",0.619047619047619,1,1,0.98014888337469,1,0.619047619047619,0.764705882352941,0.0504807692307692,0.03125,0.03125,0.80952380952381
"182","recurrent","aware","IWR11-reg003","Lymphoid",0.8,0.995046235138705,0.581005586592177,0.998277118812537,0.581005586592179,0.8,0.673139158576052,0.00851342501637197,0.00681074001309758,0.0117223313686968,0.897523117569353
"183","recurrent","aware","IWR11-reg004","Lymphoid",0.534653465346535,0.998777298508983,0.818181818181817,0.995228103424936,0.818181818181818,0.534653465346535,0.646706586826347,0.0101862435285417,0.00544611040139851,0.00665635715726484,0.766715381927759
"184","recurrent","aware","IWR11-reg005","Lymphoid",0.773333333333333,0.998323353293413,0.943089430894308,0.991908614945264,0.943089430894309,0.773333333333333,0.84981684981685,0.0346820809248555,0.0268208092485549,0.0284393063583815,0.885828343313373
"185","recurrent","aware","IWR11-reg006","Lymphoid",0.778571428571429,0.999227753356303,0.943722943722947,0.996327666883848,0.943722943722944,0.778571428571429,0.853228962818004,0.0163608741381325,0.0127381091504032,0.0134977211639593,0.888899590963866
"186","recurrent","aware","IWR11-reg007","Lymphoid",0.634760705289673,0.999173758572255,0.92647058823529,0.99404052443385,0.926470588235294,0.634760705289673,0.753363228699552,0.0161362435475349,0.0102426533349592,0.0110555623297972,0.816967231930964
"187","primary","aware","IWP05-reg001","Myeloid",0.670849139188795,0.546985035211268,0.21826640083547,0.89810298102981,0.218266400835469,0.670849139188795,0.329369627507163,0.158635374716475,0.106420404573439,0.48757117067074,0.608917087200031
"188","primary","aware","IWP05-reg002","Myeloid",0.664565826330532,0.768546406561327,0.275351806180183,0.945394436844505,0.275351806180183,0.664565826330532,0.389373269053236,0.116871956459467,0.0776691083193518,0.282072267463273,0.71655611644593
"189","primary","aware","IWP05-reg003","Myeloid",0.634997913478926,0.716679520437496,0.360955167233336,0.886249349748569,0.360955167233336,0.634997913478926,0.460274248840492,0.201287974240515,0.127817443651127,0.354108917821644,0.675838716958211
"190","primary","aware","IWP05-reg004","Myeloid",0.67173694217649,0.709813022726278,0.475421515079553,0.846696265343432,0.475421515079554,0.67173694217649,0.556781310837119,0.281358172320473,0.188998678330921,0.397539178047706,0.690774982451384
"191","primary","aware","IWP05-reg005","Myeloid",0.842681813571356,0.745121073174429,0.552614074763869,0.926887904214198,0.552614074763869,0.842681813571356,0.667496886674969,0.271987419995586,0.229198852350475,0.414753917457515,0.793901443372892
"192","primary","aware","IWP05-reg006","Myeloid",0.698379508625196,0.632860220130426,0.243647416413374,0.925317111053585,0.243647416413374,0.698379508625196,0.361260083825319,0.144821843141213,0.101140607651156,0.415110527909559,0.665619864377811
"193","primary","aware","IWP05-reg007","Myeloid",0.835021952043229,0.702784719742949,0.426109435588109,0.941584454409566,0.426109435588109,0.835021952043229,0.564272265647287,0.209036357218496,0.174549947052594,0.409636427815037,0.768903335893089
"194","primary","aware","IWP05-reg008","Myeloid",0.799688635184224,0.817595830761846,0.591554702495201,0.925124146492862,0.591554702495202,0.799688635184224,0.680052956751986,0.248318342310765,0.198577356253705,0.335687224556068,0.808642232973035
"195","primary","aware","IWP05-reg010","Myeloid",0.767627867817302,0.646800226088049,0.3933771977133,0.903183372796633,0.3933771977133,0.767627867817302,0.520182570246755,0.229805552868337,0.176405146560898,0.448437651156041,0.707214046952675
"196","primary","aware","IWP06-reg001","Myeloid",0.695304695304695,0.677707154936148,0.201185142361613,0.950130804447351,0.201185142361613,0.695304695304695,0.312072637596682,0.104537622056289,0.0726854994517258,0.361286616886847,0.686505925120422
"197","primary","aware","IWP06-reg005","Myeloid",0.656582805988578,0.63989732306564,0.519921779516011,0.758283541553504,0.519921779516011,0.656582805988578,0.580315121751586,0.372634727094956,0.244665554724794,0.470581468913556,0.648240064527109
"198","primary","aware","IWP06-reg006","Myeloid",0.644785143597495,0.652193749524751,0.566281054428219,0.722760596612455,0.566281054428219,0.644785143597495,0.602988691437803,0.41324231472806,0.266452505242493,0.470530495694463,0.648489446561123
"199","primary","aware","IWP06-reg007","Myeloid",0.649586961375307,0.789276373147341,0.546231108607904,0.852247587667687,0.546231108607904,0.649586961375307,0.593442455764622,0.280832654084896,0.18242523042197,0.333970781867202,0.719431667261324
"200","primary","aware","IWP07-reg001","Myeloid",0.417319277108434,0.709827438502019,0.70036648553014,0.428423696262373,0.70036648553014,0.417319277108434,0.523002878308876,0.619085357325999,0.258356253787702,0.368887231364505,0.563573357805227
"201","primary","aware","IWP07-reg002","Myeloid",0.498143773202835,0.683275261324042,0.618867924528302,0.568735498839907,0.618867924528302,0.498143773202835,0.551982049364248,0.507971884107663,0.253043031030345,0.408880507457569,0.590709517263438
"202","primary","aware","IWP07-reg003","Myeloid",0.530209529276693,0.617092491353342,0.682838924313834,0.457940056300712,0.682838924313834,0.530209529276693,0.596922082643293,0.608585527752304,0.322677846194157,0.472553386610769,0.573651010315017
"203","primary","aware","IWP07-reg004","Myeloid",0.49642672953658,0.650397661613758,0.567123979463008,0.58330793147595,0.567123979463008,0.49642672953658,0.529425630549226,0.479882619148635,0.238226559185405,0.42006081176637,0.573412195575169
"204","primary","aware","IWP07-reg006","Myeloid",0.527005870841487,0.604433792690234,0.449282615949283,0.676048787025868,0.449282615949283,0.527005870841487,0.485050432276657,0.379784466740988,0.200148643626904,0.445484949832776,0.56571983176586
"205","primary","aware","IWP07-reg007","Myeloid",0.493629967674463,0.636508335427662,0.544748714720386,0.587898483441659,0.544748714720386,0.493629967674463,0.517931068881241,0.468403473613894,0.231217991538633,0.424448897795591,0.565069151551062
